GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.009	0.0	0.000000
0.019	0.0	0.000000
0.028	0.0	0.000000
0.037	0.0	0.000000
0.047	0.0	0.000000
0.056	0.0	0.000000
0.065	1.0	0.001353
0.075	1.0	0.001353
0.084	0.5	0.000676
0.093	1.5	0.002029
0.103	1.5	0.002029
0.112	2.5	0.003382
0.121	6.0	0.008117
0.131	7.5	0.010146
0.140	13.0	0.017587
0.150	19.5	0.026380
0.159	14.0	0.018939
0.168	28.5	0.038555
0.178	55.0	0.074405
0.187	42.0	0.056818
0.196	86.0	0.116342
0.206	122.5	0.165719
0.215	150.5	0.203598
0.224	221.5	0.299648
0.234	296.5	0.401109
0.243	420.5	0.568858
0.252	513.5	0.694669
0.262	656.0	0.887445
0.271	801.5	1.084279
0.280	958.0	1.295994
0.290	1211.5	1.638932
0.299	1346.0	1.820885
0.308	1530.5	2.070479
0.318	1694.5	2.292340
0.327	1906.0	2.578460
0.336	2068.0	2.797616
0.346	2207.0	2.985656
0.355	2411.0	3.261630
0.364	2493.5	3.373237
0.374	2647.0	3.580894
0.383	2765.5	3.741202
0.393	2973.5	4.022587
0.402	2975.0	4.024616
0.411	3084.5	4.172749
0.421	3269.0	4.422343
0.430	3207.5	4.339145
0.439	3190.0	4.315471
0.449	3180.0	4.301943
0.458	3078.5	4.164632
0.467	2931.5	3.965769
0.477	2770.5	3.747966
0.486	2669.5	3.611332
0.495	2432.5	3.290716
0.505	2179.5	2.948454
0.514	2022.5	2.736063
0.523	1819.5	2.461442
0.533	1604.0	2.169911
0.542	1426.5	1.929787
0.551	1228.0	1.661253
0.561	1056.0	1.428570
0.570	925.0	1.251351
0.579	731.5	0.989582
0.589	623.0	0.842802
0.598	518.0	0.700757
0.607	450.5	0.609442
0.617	388.5	0.525568
0.626	343.5	0.464691
0.636	317.5	0.429518
0.645	248.0	0.335497
0.654	220.5	0.298295
0.664	175.0	0.236742
0.673	111.0	0.150162
0.682	78.0	0.105519
0.692	47.0	0.063582
0.701	33.0	0.044643
0.710	24.0	0.032467
0.720	13.5	0.018263
0.729	12.0	0.016234
0.738	8.0	0.010822
0.748	8.5	0.011499
0.757	6.0	0.008117
0.766	8.0	0.010822
0.776	2.5	0.003382
0.785	0.5	0.000676
0.794	0.5	0.000676
0.804	0.0	0.000000
0.813	0.0	0.000000
0.822	1.0	0.001353
0.832	1.0	0.001353
0.841	0.5	0.000676
0.850	0.0	0.000000
0.860	0.0	0.000000
0.869	0.0	0.000000
0.879	0.0	0.000000
0.888	0.0	0.000000
0.897	0.0	0.000000
0.907	0.0	0.000000
0.916	0.0	0.000000
0.925	0.0	0.000000
0.935	0.0	0.000000
0.944	0.0	0.000000
0.953	0.0	0.000000
0.963	0.0	0.000000
0.972	0.0	0.000000
0.981	0.0	0.000000
0.991	0.0	0.000000
1.000	0.0	0.000000
