GC%	Total	Normalized Fraction(PDF)
0.000	1697477.0	0.135502
0.009	784024.0	0.062585
0.019	516544.0	0.041233
0.028	625773.0	0.049953
0.037	748245.0	0.059729
0.047	885336.0	0.070672
0.056	1025180.0	0.081835
0.065	1169645.0	0.093367
0.075	1314002.0	0.104891
0.084	1461290.0	0.116648
0.093	1618525.0	0.129199
0.103	1813149.0	0.144735
0.112	2036774.0	0.162586
0.121	2351683.0	0.187724
0.131	2710132.0	0.216337
0.140	3202730.0	0.255659
0.150	3855417.0	0.307760
0.159	4690058.0	0.374386
0.168	5769703.0	0.460569
0.178	7149720.0	0.570729
0.187	8882367.0	0.709038
0.196	11008291.0	0.878741
0.206	13520133.0	1.079250
0.215	16383813.0	1.307844
0.224	19591047.0	1.563863
0.234	23096671.0	1.843700
0.243	26985487.0	2.154127
0.252	30255058.0	2.415121
0.262	33623918.0	2.684042
0.271	36764220.0	2.934718
0.280	39638174.0	3.164132
0.290	42181231.0	3.367133
0.299	44340903.0	3.539529
0.308	46122366.0	3.681735
0.318	47452713.0	3.787931
0.327	48310206.0	3.856380
0.336	48676355.0	3.885608
0.346	48666852.0	3.884850
0.355	48353690.0	3.859851
0.364	47736630.0	3.810594
0.374	46948267.0	3.747663
0.383	45957187.0	3.668550
0.393	44831424.0	3.578685
0.402	43585895.0	3.479260
0.411	42238941.0	3.371739
0.421	40653542.0	3.245184
0.430	38708384.0	3.089911
0.439	36484418.0	2.912382
0.449	34063136.0	2.719103
0.458	31423082.0	2.508359
0.467	28619581.0	2.284569
0.477	25746151.0	2.055196
0.486	22892901.0	1.827434
0.495	20389413.0	1.627593
0.505	17630047.0	1.407325
0.514	15267364.0	1.218723
0.523	13147803.0	1.049528
0.533	11236274.0	0.896940
0.542	9517529.0	0.759740
0.551	7924326.0	0.632562
0.561	6598252.0	0.526708
0.570	5475542.0	0.437087
0.579	4532626.0	0.361819
0.589	3746717.0	0.299083
0.598	3107590.0	0.248065
0.607	2595485.0	0.207186
0.617	2168216.0	0.173079
0.626	1754459.0	0.140050
0.636	1407066.0	0.112320
0.645	1090733.0	0.087068
0.654	861298.0	0.068753
0.664	682749.0	0.054501
0.673	502550.0	0.040116
0.682	378218.0	0.030191
0.692	274215.0	0.021889
0.701	190412.0	0.015200
0.710	143121.0	0.011425
0.720	134811.0	0.010761
0.729	137237.0	0.010955
0.738	115924.0	0.009254
0.748	78189.0	0.006241
0.757	54500.0	0.004350
0.766	40030.0	0.003195
0.776	30205.0	0.002411
0.785	18029.0	0.001439
0.794	9154.0	0.000731
0.804	4167.0	0.000333
0.813	3626.0	0.000289
0.822	1010.0	0.000081
0.832	866.0	0.000069
0.841	548.0	0.000044
0.850	421.0	0.000034
0.860	353.0	0.000028
0.869	1485.0	0.000119
0.879	318.0	0.000025
0.888	454.0	0.000036
0.897	369.0	0.000029
0.907	310.0	0.000025
0.916	357.0	0.000028
0.925	263.0	0.000021
0.935	166.0	0.000013
0.944	228.0	0.000018
0.953	83.0	0.000007
0.963	47.0	0.000004
0.972	173.0	0.000014
0.981	65.0	0.000005
0.991	4.0	0.000000
1.000	2066.0	0.000165
