Tag Length (Average tag length = 85.619034)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000013
3	0.000013
4	0.000063
5	0.000095
6	0.000076
7	0.000082
8	0.000082
9	0.000126
10	0.000082
11	0.000120
12	0.000177
13	0.000133
14	0.000139
15	0.000145
16	0.000126
17	0.000164
18	0.000082
19	0.000152
20	0.000126
21	0.000215
22	0.000190
23	0.000126
24	0.000145
25	0.000190
26	0.000158
27	0.000177
28	0.000196
29	0.000196
30	0.000164
31	0.000209
32	0.000297
33	0.000107
34	0.000145
35	0.000183
36	0.002794
37	0.004027
38	0.004659
39	0.005936
40	0.006284
41	0.006707
42	0.006732
43	0.007251
44	0.007902
45	0.007365
46	0.007554
47	0.007263
48	0.006834
49	0.006935
50	0.007542
51	0.008136
52	0.007933
53	0.007807
54	0.008288
55	0.008566
56	0.007788
57	0.007554
58	0.007137
59	0.007491
60	0.007238
61	0.008389
62	0.008123
63	0.007725
64	0.008351
65	0.008028
66	0.008022
67	0.007586
68	0.007244
69	0.006189
70	0.006340
71	0.007207
72	0.006732
73	0.007485
74	0.007687
75	0.007826
76	0.007801
77	0.007175
78	0.006265
79	0.006562
80	0.006517
81	0.006423
82	0.006890
83	0.006840
84	0.006853
85	0.006600
86	0.006138
87	0.006562
88	0.006132
89	0.006277
90	0.005949
91	0.006037
92	0.005980
93	0.006517
94	0.006461
95	0.007175
96	0.007308
97	0.011568
98	0.017814
99	0.006701
100	0.016455
101	0.517650
