#Transcript position	Transcript coverage profile
0.0	0.04501441005793067
1.0	0.007470656795249661
2.0	0.022653005762068894
3.0	0.03629415371160824
4.0	0.026890438370528454
5.0	0.03636125792135789
6.0	0.030608223758603906
7.0	0.028926942330983325
8.0	0.025138308913188714
9.0	0.044471091540607674
10.0	0.02403214877148102
11.0	0.02715042963185677
12.0	0.017289206043671533
13.0	0.017907032025297993
14.0	0.024095101460239635
15.0	0.022124603554092483
16.0	0.020756774757692897
17.0	0.041805826977171036
18.0	0.02634302406431399
19.0	0.03192853889742914
20.0	0.014007167194817073
21.0	0.03994115622374235
22.0	0.057401858824346924
23.0	0.04807461271813707
24.0	0.0076853526220614825
25.0	0.02411770051028999
26.0	0.03099454021884082
27.0	0.012114559386724708
28.0	0.02374164929134818
29.0	0.020479801153588585
30.0	0.04135103128193843
31.0	0.021657748886434548
32.0	0.03775917822070911
33.0	0.018011630042245933
34.0	0.0129484126517181
35.0	0.02128961910608583
36.0	0.030449494669650867
37.0	0.054090045260333765
38.0	0.025064770253735214
39.0	0.012633962979707009
40.0	0.021091710063283003
41.0	0.02305982492333022
42.0	0.02429126350305581
43.0	0.0296209987365652
44.0	0.009308319345462057
45.0	0.009876569695135546
46.0	0.025383425073571806
47.0	0.014984421574925721
48.0	0.003241331618603325
49.0	0.02495500065917891
50.0	0.018160661448941406
51.0	0.027071912316761666
52.0	0.020279180362688477
53.0	0.020387000007149825
54.0	0.01692735454025405
55.0	0.017766331675830423
56.0	0.02079951301793715
57.0	0.020522898756828008
58.0	0.045546541122429354
59.0	0.010899435225645068
60.0	0.022110510120886915
61.0	0.0013179571663920922
62.0	0.010530232632640938
63.0	0.044750204049953175
64.0	0.020018245324761992
65.0	0.040362149647939674
66.0	0.02312872128246164
67.0	0.016554762194661364
68.0	0.035376932216017065
69.0	0.019406470062356868
70.0	0.02200720884960671
71.0	0.01826495527760203
72.0	0.058923121968726073
73.0	0.09244889956000767
74.0	0.04555272091582361
75.0	0.020727424809901685
76.0	0.014061418342173499
77.0	0.013290598591532407
78.0	0.024840459163331163
79.0	0.019584485099192753
80.0	0.06613927731239798
81.0	0.04516418443315786
82.0	0.07063496320871665
83.0	0.05516010425293152
84.0	0.01973474713628196
85.0	0.038949857348885536
86.0	0.07017270223930543
87.0	0.0495056749771492
88.0	0.028971903879280145
89.0	0.045461262010993105
90.0	0.0481850904754886
91.0	0.03358506919883536
92.0	0.031086533341070147
93.0	0.02481767637111741
94.0	0.05527808123663082
95.0	0.04392317796839327
96.0	0.04507983120664724
97.0	0.01883073590914244
98.0	0.04667115792507509
99.0	0.01688320816967506
