## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238351_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238351_subsamp.sorted.summary_metrics.txt INPUT=SRR4238351_subsamp.sorted.bam OUTPUT=SRR4238351_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:14:59 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	0	886	0	0	0	0			
All Reads	1	2199	0	0	0	0			
All Reads	2	3458	0	0	0	0			
All Reads	3	3800	0	0	0	0			
All Reads	4	4027	0	0	0	0			
All Reads	5	3777	2	0	0.067175	0.0475			
All Reads	6	3431	1	0	0.036975	0.036975			
All Reads	7	2923	1	0	0.043401	0.043401			
All Reads	8	2865	4	0	0.177118	0.088559			
All Reads	9	2412	0	0	0	0			
All Reads	10	2766	1	0	0.045864	0.045864			
All Reads	11	2940	1	0	0.04315	0.04315			
All Reads	12	2998	2	0	0.08463	0.059842			
All Reads	13	3348	2	0	0.075783	0.053587			
All Reads	14	3618	10	27	0.350637	0.110881			
All Reads	15	4650	20	0	0.545636	0.122008			
All Reads	16	5520	24	0	0.551567	0.112588			
All Reads	17	7380	30	0	0.515693	0.094152			
All Reads	18	9733	87	32	1.133963	0.121574			
All Reads	19	13207	122	29	1.171877	0.106097			
All Reads	20	18144	147	29	1.027805	0.084772			
All Reads	21	25053	169	30	0.855762	0.065828			
All Reads	22	32875	213	31	0.82194	0.056318			
All Reads	23	44420	274	31	0.782525	0.047274			
All Reads	24	60937	378	31	0.786932	0.040475			
All Reads	25	82091	441	32	0.681505	0.032453			
