FIELD	COUNT
Stranded_Rule_Code	0
READ_PAIR_OK	6010347
TOTAL_READ_PAIRS	6010347
DROPPED_NOT_PROPER_PAIR	-1
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	-1
DROPPED_PAIR_STRANDS_MISMATCH	-1
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	0
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	51
maxObservedReadLength	51
maxLegalPhredScore	41
IS_SINGLE_END	1
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	5.43
BENCHMARK_MinutesPerMillionReads	0.90
BENCHMARK_MinutesPerMillionGoodReads	0.90
ReadPairs_AmbigGene	387285
ReadPairs_UniqueGene	5390080
ReadPairs_UniqueGene_CDS	5382896
ReadPairs_UniqueGene_UTR	7184
ReadPairs_NoGene	232982
ReadPairs_NoGene_Intron	2868
ReadPairs_NoGene_OneKbFromGene	225193
ReadPairs_NoGene_TenKbFromGene	4921
ReadPairs_NoGene_MiddleOfNowhere	0
Genes_Total	6692
Genes_WithZeroCounts	495
Genes_WithNonzeroCounts	6197
AggregateGenes	5993
AggregateGenes_NoReads	165
AggregateGenes_WithReads	5828
SpliceLoci	1517
SpliceLoci_Known	342
SpliceLoci_Known_NoReads	104
SpliceLoci_Known_FewReads	31
SpliceLoci_Known_ManyReads	207
SpliceLoci_Novel	1175
SpliceLoci_Novel_FewReads	1135
SpliceLoci_Novel_ManyReads	40
SpliceEvents	52175
SpliceEvents_KnownLoci	47841
SpliceEvents_KnownLociWithFewReads	61
SpliceEvents_KnownLociWithManyReads	47780
SpliceEvents_NovelLoci	4334
SpliceEvents_NovelLociWithFewReads	1207
SpliceEvents_NovelLociWithManyReads	3127
StrandTest_frFirstStrand	2627109
StrandTest_frSecondStrand	2804077
StrandTest_ambig_genesFountOnBothStrands	346179
StrandTest_ambig_noGenes	232982
StrandTest_ambig_other	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	17
READ_LENGTH	51
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
