n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
999	167.29565	25	1	1
999	145.33876	53	2	2
999	90.22437	54	3	3
999	78.961	3	4	4
999	76.97304	32	5	5
999	68.432526	36	6	6
999	66.41147	11	7	7
999	62.778427	91	8	8
999	61.510715	76	9	9
999	58.403133	85	10	10
999	58.354202	29	11	11
999	57.61993	44	12	12
999	56.119614	75	13	13
999	44.00379	13	14	14
999	37.88945	66	15	15
999	37.525066	19	16	16
999	37.396324	17	17	17
999	36.58362	8	18	18
999	36.47588	50	19	19
999	31.489182	84	20	20
999	29.978542	96	21	21
999	28.802479	81	22	22
999	27.394325	98	23	23
999	25.347313	67	24	24
999	25.19712	68	25	25
999	24.167686	90	26	26
999	22.884073	27	27	27
999	22.462385	72	28	28
999	20.238594	57	29	29
999	16.773722	37	30	30
999	15.309172	9	31	31
999	14.684071	59	32	32
999	14.579529	87	33	33
999	12.877835	7	34	34
999	9.356581	47	35	35
999	7.423232	56	36	36
999	6.3813496	39	37	37
999	5.3390007	40	38	38
999	3.2949696	20	39	39
999	3.1289692	77	40	40
999	1.4460907	93	41	41
999	0.74559784	2	42	42
999	-0.025539398	65	43	43
999	-0.30301762	80	44	44
999	-0.35463715	92	45	45
999	-0.62678146	49	46	46
999	-3.811778	1	47	47
999	-4.80977	61	48	48
999	-6.311157	52	49	49
999	-7.2777667	14	50	50
999	-7.750379	89	51	51
999	-9.111547	38	52	52
999	-9.2836075	70	53	53
999	-12.777683	6	54	54
999	-13.222701	42	55	55
999	-14.7322445	23	56	56
999	-15.457813	62	57	57
999	-18.900639	97	58	58
999	-18.913437	34	59	59
999	-19.029345	100	60	60
999	-19.29462	60	61	61
999	-19.581535	43	62	62
999	-21.497953	79	63	63
999	-22.580105	45	64	64
999	-23.48003	94	65	65
999	-24.242529	15	66	66
999	-26.45625	41	67	67
999	-28.283401	88	68	68
999	-29.337666	78	69	69
999	-29.452576	58	70	70
999	-30.879625	26	71	71
999	-32.588654	63	72	72
999	-32.862053	83	73	73
999	-33.00387	35	74	74
999	-34.703354	99	75	75
999	-35.71303	51	76	76
999	-37.982178	95	77	77
999	-38.53469	5	78	78
999	-39.305984	18	79	79
999	-39.60829	24	80	80
999	-40.247627	48	81	81
999	-40.888668	74	82	82
999	-45.05918	30	83	83
999	-46.0933	33	84	84
999	-46.153816	73	85	85
999	-48.42672	10	86	86
999	-49.563812	71	87	87
999	-50.752953	86	88	88
999	-53.429832	16	89	89
999	-57.047665	28	90	90
999	-59.065456	21	91	91
999	-59.405556	55	92	92
999	-62.401855	64	93	93
999	-63.29972	46	94	94
999	-64.6189	82	95	95
999	-80.59769	22	96	96
999	-94.77464	31	97	97
999	-99.00073	4	98	98
999	-104.80567	69	99	99
999	-118.58923	12	100	100
