TUMOR MAPPING/ALIGNING SUMMARY,,Total input reads,2200000000,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked reads,433637413,19.71
TUMOR MAPPING/ALIGNING SUMMARY,,Number of duplicate marked and mate reads removed,NA
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique reads (excl. duplicate marked reads),1766362587,80.29
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with mate sequenced,2200000000,100.00
TUMOR MAPPING/ALIGNING SUMMARY,,Reads without mate sequenced,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,QC-failed reads,0,0.00
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads,2130883930,96.86
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R1,1066701794,96.97
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped reads R2,1064182136,96.74
TUMOR MAPPING/ALIGNING SUMMARY,,Number of unique & mapped reads (excl. duplicate marked reads),1697246517,77.15
TUMOR MAPPING/ALIGNING SUMMARY,,Unmapped reads,69116070,3.14
TUMOR MAPPING/ALIGNING SUMMARY,,Singleton reads (itself mapped; mate unmapped),3917092,0.18
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads (itself & mate mapped),2126966838,96.68
TUMOR MAPPING/ALIGNING SUMMARY,,Properly paired reads,2103060370,95.59
TUMOR MAPPING/ALIGNING SUMMARY,,Not properly paired reads (discordant),23906468,1.09
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes,17454370,0.82
TUMOR MAPPING/ALIGNING SUMMARY,,Paired reads mapped to different chromosomes (MAPQ>=10),6463547,0.30
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [40:inf),2002661377,91.03
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [30:40),7169392,0.33
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [20:30),16644390,0.76
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [10:20),20280057,0.92
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ [ 0:10),84128714,3.82
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with MAPQ NA (Unmapped reads),69116070,3.14
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R1,26849051,2.52
TUMOR MAPPING/ALIGNING SUMMARY,,Reads with indel R2,24810803,2.33
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases,330000000000
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R1,165000000000
TUMOR MAPPING/ALIGNING SUMMARY,,Total bases R2,165000000000
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped bases R1,160005269100
TUMOR MAPPING/ALIGNING SUMMARY,,Mapped bases R2,159627320400
TUMOR MAPPING/ALIGNING SUMMARY,,Soft-clipped bases R1,1757128997,1.10
TUMOR MAPPING/ALIGNING SUMMARY,,Soft-clipped bases R2,3208748350,2.01
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R1,585802788,0.37
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R2,1155805091,0.72
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R1 (excl. indels),501394281,0.31
TUMOR MAPPING/ALIGNING SUMMARY,,Mismatched bases R2 (excl. indels),1073788605,0.67
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases,297564555927,90.17
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases R1,155492239719,94.24
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases R2,142072316208,86.10
TUMOR MAPPING/ALIGNING SUMMARY,,Q30 bases (excl. dups & clipped bases),246555769158
TUMOR MAPPING/ALIGNING SUMMARY,,Total alignments,2190085267
