## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	0.01731	0.166127	0	0	0	0.071189	0.00002	0.00002	0.023065	0.00968	0.000498	0.104471	0.016923	0.000016	0.000006	0.000003	0.000002	0.000001	0.000001	0	0	0	0	0	0	0	?	?	?	0.007193	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	2991949173
1	50882689
2	538102
3	23140
4	11162
5	8262
6	7154
7	6766
8	4923
9	3601
10	2860
11	2166
12	1606
13	1710
14	1304
15	1117
16	823
17	790
18	682
19	436
20	536
21	400
22	398
23	339
24	364
25	298
26	212
27	213
28	152
29	228
30	221
31	169
32	141
33	124
34	114
35	80
36	92
37	92
38	72
39	41
40	35
41	60
42	41
43	37
44	42
45	18
46	22
47	14
48	22
49	23
50	21
51	36
52	1
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	1
87	0
88	1
89	0
90	0
91	0
92	1
93	2
94	0
95	1
96	0
97	2
98	0
99	0
100	0
101	1
102	0
103	1
104	0
105	0
106	0
107	1
108	1
109	1
110	0
111	0
112	1
113	1
114	1
115	1
116	2
117	0
118	1
119	0
120	0
121	0
122	1
123	0
124	0
125	0
126	0
127	0
128	0
129	1
130	0
131	1
132	0
133	1
134	0
135	1
136	0
137	1
138	1
139	1
140	0
141	0
142	0
143	0
144	1
145	0
146	0
147	1
148	0
149	1
150	0
151	0
152	1
153	0
154	0
155	1
156	2
157	0
158	2
159	1
160	1
161	0
162	1
163	0
164	1
165	1
166	1
167	1
168	0
169	1
170	1
171	3
172	2
173	2
174	0
175	0
176	2
177	2
178	0
179	0
180	0
181	1
182	1
183	2
184	0
185	1
186	1
187	0
188	1
189	1
190	0
191	0
192	1
193	1
194	2
195	2
196	0
197	0
198	0
199	1
200	0
201	1
202	1
203	1
204	2
205	2
206	0
207	0
208	1
209	1
210	1
211	1
212	1
213	2
214	1
215	1
216	1
217	0
218	1
219	2
220	0
221	3
222	3
223	1
224	1
225	2
226	0
227	1
228	1
229	1
230	0
231	1
232	0
233	1
234	0
235	0
236	2
237	2
238	0
239	1
240	1
241	2
242	1
243	1
244	1
245	2
246	1
247	0
248	1
249	2
250	313

