featureID	uniq_len	num_alignments	counts	tpm
b0001	66	0.0	0.00	0.00
b0002	2463	0.0	0.00	0.00
b0003	933	0.0	0.00	0.00
b0004	1287	0.0	0.00	0.00
b0005	297	0.0	0.00	0.00
b0006	777	0.0	0.00	0.00
b0007	1431	0.0	0.00	0.00
b0008	954	7.0	6.28	3.56
b0009	588	0.0	0.00	0.00
b0010	567	0.0	0.00	0.00
b0011	228	0.0	0.00	0.00
b0012	0	0.0	0.00	0.00
b0013	405	0.0	0.00	0.00
b0014	1917	4.0	4.00	1.13
b0015	1131	0.0	0.00	0.00
b0016	1113	0.0	0.00	0.00
b0018	48	0.0	0.00	0.00
b0019	1167	1.0	1.00	0.46
b0020	906	0.0	0.00	0.00
b0021	422	0.0	0.00	0.00
b0022	194	0.0	0.00	0.00
b0023	264	0.0	0.00	0.00
b0024	219	0.0	0.00	0.00
b0025	942	0.0	0.00	0.00
b0026	2816	2.0	2.00	0.38
b0027	494	1.0	1.00	1.10
b0028	450	0.0	0.00	0.00
b0029	951	15.0	12.73	7.25
b0030	915	3.0	0.35	0.21
b0031	822	0.0	0.00	0.00
b0032	1149	0.0	0.00	0.00
b0033	3222	11.0	11.00	1.85
b0034	396	0.0	0.00	0.00
b0035	591	0.0	0.00	0.00
b0036	786	0.0	0.00	0.00
b0037	1554	0.0	0.00	0.00
b0038	1218	0.0	0.00	0.00
b0039	1143	0.0	0.00	0.00
b0040	1515	6.0	6.00	2.15
b0041	771	0.0	0.00	0.00
b0042	942	1.0	1.00	0.58
b0043	1283	18.0	11.63	4.91
b0044	284	21.0	10.10	19.26
b0045	1332	1984.0	1984.00	806.80
b0046	523	0.0	0.00	0.00
b0047	1855	3054.0	2770.59	809.02
b0048	480	477.0	167.80	189.35
b0049	843	0.0	0.00	0.00
b0050	378	0.0	0.00	0.00
b0051	818	0.0	0.00	0.00
b0052	985	0.0	0.00	0.00
b0053	1286	0.0	0.00	0.00
b0054	2355	0.0	0.00	0.00
b0055	816	0.0	0.00	0.00
b0056	647	0.0	0.00	0.00
b0057	155	25932.0	22067.94	77118.86
b0058	660	0.0	0.00	0.00
b0059	2907	0.0	0.00	0.00
b0060	2352	0.0	0.00	0.00
b0061	696	2.0	1.83	1.43
b0062	1503	0.0	0.00	0.00
b0063	1701	0.0	0.00	0.00
b0064	879	0.0	0.00	0.00
b0065	765	1.0	1.00	0.71
b0066	682	0.0	0.00	0.00
b0067	1569	0.0	0.00	0.00
b0068	959	0.0	0.00	0.00
b0069	1656	0.0	0.00	0.00
b0070	1179	1.0	1.00	0.46
b0071	606	0.0	0.00	0.00
b0072	1401	32.0	22.74	8.79
b0073	1091	163.0	150.35	74.65
b0074	1571	2.0	2.00	0.69
b0075	87	0.0	0.00	0.00
b0076	945	1.0	1.00	0.57
b0077	1725	0.0	0.00	0.00
b0078	492	0.0	0.00	0.00
b0080	1005	0.0	0.00	0.00
b0081	459	0.0	0.00	0.00
b0082	938	0.0	0.00	0.00
b0083	362	0.0	0.00	0.00
b0084	1753	0.0	0.00	0.00
b0085	1470	0.0	0.00	0.00
b0086	1348	0.0	0.00	0.00
b0087	1076	0.0	0.00	0.00
b0088	1316	0.0	0.00	0.00
b0089	1240	0.0	0.00	0.00
b0090	1064	0.0	0.00	0.00
b0091	1468	0.0	0.00	0.00
b0092	913	0.0	0.00	0.00
b0093	827	0.0	0.00	0.00
b0094	1259	0.0	0.00	0.00
b0095	1152	2.0	1.01	0.47
b0096	918	0.0	0.00	0.00
b0097	513	0.0	0.00	0.00
b0098	2706	0.0	0.00	0.00
b0099	390	0.0	0.00	0.00
b0101	198	0.0	0.00	0.00
b0102	743	0.0	0.00	0.00
b0103	620	0.0	0.00	0.00
b0104	1044	0.0	0.00	0.00
b0106	1192	0.0	0.00	0.00
b0107	1375	0.0	0.00	0.00
b0108	441	0.0	0.00	0.00
b0109	894	0.0	0.00	0.00
b0110	548	0.0	0.00	0.00
b0111	851	24.0	19.19	12.21
b0112	1374	18.0	9.13	3.60
b0113	765	0.0	0.00	0.00
b0114	2664	322.0	322.00	65.47
b0115	1893	0.0	0.00	0.00
b0116	1425	0.0	0.00	0.00
b0117	1854	0.0	0.00	0.00
b0118	2598	0.0	0.00	0.00
b0119	363	0.0	0.00	0.00
b0120	795	0.0	0.00	0.00
b0121	867	0.0	0.00	0.00
b0122	348	0.0	0.00	0.00
b0123	1551	0.0	0.00	0.00
b0124	2391	0.0	0.00	0.00
b0125	537	0.0	0.00	0.00
b0126	663	0.0	0.00	0.00
b0127	923	0.0	0.00	0.00
b0128	767	0.0	0.00	0.00
b0129	441	0.0	0.00	0.00
b0130	1230	0.0	0.00	0.00
b0131	381	0.0	0.00	0.00
b0132	903	0.0	0.00	0.00
b0133	852	0.0	0.00	0.00
b0134	795	0.0	0.00	0.00
b0135	1239	0.0	0.00	0.00
b0136	597	0.0	0.00	0.00
b0137	606	0.0	0.00	0.00
b0138	570	0.0	0.00	0.00
b0139	2598	0.0	0.00	0.00
b0140	741	0.0	0.00	0.00
b0141	585	0.0	0.00	0.00
b0142	476	0.0	0.00	0.00
b0143	1394	0.0	0.00	0.00
b0144	927	0.0	0.00	0.00
b0145	456	0.0	0.00	0.00
b0146	705	0.0	0.00	0.00
b0147	531	0.0	0.00	0.00
b0148	2430	14.0	14.00	3.12
b0149	2535	0.0	0.00	0.00
b0150	2244	2149.0	1859.10	448.76
b0151	797	3321.0	1567.48	1065.30
b0152	886	0.0	0.00	0.00
b0153	1979	0.0	0.00	0.00
b0154	1281	0.0	0.00	0.00
b0155	1422	1.0	0.48	0.18
b0156	337	2.0	2.00	3.21
b0157	624	0.0	0.00	0.00
b0158	793	0.0	0.00	0.00
b0159	691	0.0	0.00	0.00
b0160	1518	4.0	4.00	1.43
b0161	1425	0.0	0.00	0.00
b0162	1158	0.0	0.00	0.00
b0163	387	0.0	0.00	0.00
b0164	813	0.0	0.00	0.00
b0166	825	0.0	0.00	0.00
b0167	2673	0.0	0.00	0.00
b0168	795	0.0	0.00	0.00
b0169	726	1.0	1.00	0.75
b0170	852	0.0	0.00	0.00
b0171	726	0.0	0.00	0.00
b0172	558	0.0	0.00	0.00
b0173	1197	0.0	0.00	0.00
b0174	762	0.0	0.00	0.00
b0175	858	0.0	0.00	0.00
b0176	1353	5.0	2.65	1.06
b0177	2433	9.0	5.10	1.14
b0178	486	0.0	0.00	0.00
b0179	1026	0.0	0.00	0.00
b0180	456	0.0	0.00	0.00
b0181	788	0.0	0.00	0.00
b0182	1144	0.0	0.00	0.00
b0183	593	0.0	0.00	0.00
b0184	3483	15.0	15.00	2.33
b0185	960	0.0	0.00	0.00
b0186	2142	0.0	0.00	0.00
b0187	390	886.0	885.74	1230.20
b0188	1299	77.0	61.57	25.68
b0189	247	194.0	142.65	312.83
b0190	542	0.0	0.00	0.00
b0191	419	0.0	0.00	0.00
b0192	711	0.0	0.00	0.00
b0193	825	0.0	0.00	0.00
b0194	1719	1.0	1.00	0.32
b0195	704	0.0	0.00	0.00
b0196	401	0.0	0.00	0.00
b0197	816	0.0	0.00	0.00
b0198	646	0.0	0.00	0.00
b0199	1024	0.0	0.00	0.00
b0200	576	0.0	0.00	0.00
b0201	1542	208995.0	36081.56	12674.52
b0202	77	0.0	0.00	0.00
b0203	76	0.0	0.00	0.00
b0204	2904	64005.0	29533.40	5508.68
b0205	120	0.0	0.00	0.00
b0206	77	0.0	0.00	0.00
b0207	800	107537.0	107531.13	72807.27
b0208	911	15.0	3.70	2.20
b0209	801	1.0	1.00	0.68
b0210	624	0.0	0.00	0.00
b0211	1359	0.0	0.00	0.00
b0212	756	2.0	1.11	0.79
b0213	719	0.0	0.00	0.00
b0214	464	0.0	0.00	0.00
b0215	732	0.0	0.00	0.00
b0216	77	0.0	0.00	0.00
b0217	786	0.0	0.00	0.00
b0218	339	0.0	0.00	0.00
b0219	771	0.0	0.00	0.00
b0220	474	0.0	0.00	0.00
b0221	2445	2.0	2.00	0.44
b0222	579	0.0	0.00	0.00
b0223	738	0.0	0.00	0.00
b0224	711	0.0	0.00	0.00
b0225	279	0.0	0.00	0.00
b0226	261	0.0	0.00	0.00
b0227	750	0.0	0.00	0.00
b0228	498	0.0	0.00	0.00
b0229	1713	31.0	29.95	9.47
b0230	756	0.0	0.00	0.00
b0231	1056	0.0	0.00	0.00
b0232	294	0.0	0.00	0.00
b0233	399	0.0	0.00	0.00
b0234	453	0.0	0.00	0.00
b0235	235	0.0	0.00	0.00
b0236	469	0.0	0.00	0.00
b0237	1458	0.0	0.00	0.00
b0238	459	0.0	0.00	0.00
b0239	1245	12599.0	12599.00	5481.47
b0240_1	71	0.0	0.00	0.00
b0240_2	331	0.0	0.00	0.00
b0241	1056	0.0	0.00	0.00
b0242	1104	0.0	0.00	0.00
b0243	1254	12.0	12.00	5.18
b0244	76	0.0	0.00	0.00
b0245	342	0.0	0.00	0.00
b0246	318	0.0	0.00	0.00
b0247	477	0.0	0.00	0.00
b0248	459	0.0	0.00	0.00
b0249	240	0.0	0.00	0.00
b0250	468	0.0	0.00	0.00
b0251	443	0.0	0.00	0.00
b0252	822	0.0	0.00	0.00
b0253	864	0.0	0.00	0.00
b0254	894	0.0	0.00	0.00
b0256	1152	0.0	0.00	0.00
b0258	1146	0.0	0.00	0.00
b0259	981	0.0	0.00	0.00
b0260	1390	0.0	0.00	0.00
b0261	919	0.0	0.00	0.00
b0262	1047	0.0	0.00	0.00
b0263	349	0.0	0.00	0.00
b0264	422	0.0	0.00	0.00
b0265	194	0.0	0.00	0.00
b0266	351	0.0	0.00	0.00
b0267	1155	0.0	0.00	0.00
b0268	909	0.0	0.00	0.00
b0269	1968	0.0	0.00	0.00
b0270	1383	0.0	0.00	0.00
b0271	1611	40.0	36.09	12.13
b0272	759	0.0	0.00	0.00
b0273	974	0.0	0.00	0.00
b0274	422	0.0	0.00	0.00
b0275	194	0.0	0.00	0.00
b0276	732	0.0	0.00	0.00
b0277	627	0.0	0.00	0.00
b0278	699	0.0	0.00	0.00
b0279	855	0.0	0.00	0.00
b0280	437	0.0	0.00	0.00
b0281	1401	0.0	0.00	0.00
b0282	389	0.0	0.00	0.00
b0283	935	2.0	2.00	1.16
b0284	2195	5.0	2.63	0.65
b0285	949	0.0	0.00	0.00
b0286	686	0.0	0.00	0.00
b0287	615	0.0	0.00	0.00
b0288	330	0.0	0.00	0.00
b0289	679	0.0	0.00	0.00
b0290	1601	10.0	10.00	3.38
b0291	2515	356.0	355.23	76.51
b0292	669	3.0	2.54	2.06
b0293	588	0.0	0.00	0.00
b0294	591	0.0	0.00	0.00
b0295	228	0.0	0.00	0.00
b0296	263	0.0	0.00	0.00
b0297	888	0.0	0.00	0.00
b0298	296	0.0	0.00	0.00
b0299	859	0.0	0.00	0.00
b0300	683	0.0	0.00	0.00
b0301	594	0.0	0.00	0.00
b0303	237	0.0	0.00	0.00
b0304	1326	0.0	0.00	0.00
b0305	855	587.0	587.00	371.88
b0306	720	186.0	142.74	107.38
b0307	1420	378.0	203.43	77.60
b0308	688	0.0	0.00	0.00
b0310	669	4.0	4.00	3.24
b0311	1671	0.0	0.00	0.00
b0312	1473	0.0	0.00	0.00
b0313	588	0.0	0.00	0.00
b0314	2034	2.0	2.00	0.53
b0315	1089	0.0	0.00	0.00
b0316	933	0.0	0.00	0.00
b0317	498	0.0	0.00	0.00
b0318	606	0.0	0.00	0.00
b0319	853	0.0	0.00	0.00
b0320	1536	0.0	0.00	0.00
b0321	1418	3.0	3.00	1.15
b0322	321	0.0	0.00	0.00
b0323	951	0.0	0.00	0.00
b0324	1383	0.0	0.00	0.00
b0325	1050	4.0	3.07	1.58
b0326	816	0.0	0.00	0.00
b0327	246	0.0	0.00	0.00
b0328	672	0.0	0.00	0.00
b0329	276	0.0	0.00	0.00
b0330	1587	0.0	0.00	0.00
b0331	891	0.0	0.00	0.00
b0333	1170	2.0	2.00	0.93
b0334	1452	0.0	0.00	0.00
b0335	1887	0.0	0.00	0.00
b0336	1249	0.0	0.00	0.00
b0337	1273	0.0	0.00	0.00
b0338	900	0.0	0.00	0.00
b0339	660	0.0	0.00	0.00
b0340	471	0.0	0.00	0.00
b0341	1155	3.0	2.91	1.37
b0342	612	0.0	0.00	0.00
