n_genes_by_counts	total_counts	pct_counts_mt	cellrank_n_genes_by_counts	cellrank_total_counts	cellrank_pct_counts_mt	cell_index
519	130.87576	80.20040106599119	73189	73195	1	1
1491	423.5741	77.79319272734023	70200	73177	2	2
646	364.79727	77.00391590724533	73053	73185	3	3
575	391.43323	76.6133065256884	73131	73182	4	4
3835	1348.9567	74.13948175490131	20587	72309	5	5
781	579.8816	72.86179856892072	72890	73154	6	6
1793	825.8132	71.1578031149099	62377	72962	7	7
1258	538.237	69.73805209447285	72030	73166	8	8
3482	1310.6807	68.89706330778374	25698	72362	9	9
1024	802.535	68.52147919461443	72505	72999	10	10
637	350.75934	68.40120907731186	73059	73189	11	11
577	585.1262	67.76891679415452	73129	73149	12	12
1760	2826.071	66.23396934626213	63258	64080	13	13
1317	1595.797	65.84171519322393	71802	71930	14	14
1400	2427.484	65.72775778632585	71309	69910	15	15
2759	3083.3528	65.56662737954927	38951	54499	16	16
676	356.06964	65.27545023064849	73015	73188	17	17
2056	3026.3335	65.07312470514232	55267	56835	18	18
2119	1109.5194	64.82950258773553	53625	72617	19	19
588	358.2401	64.69873475793663	73114	73186	20	20
676	461.8793	64.47672071910458	73016	73175	21	21
1206	2265.4924	63.74392459129069	72176	70514	22	22
8690	1741.5934	63.2251165902389	546	71678	23	23
1729	2671.3313	63.07842711275256	64110	67690	24	24
2112	1908.5858	63.000333555703804	53833	71342	25	25
1164	894.68097	62.438165388280034	72256	72868	26	26
980	632.97046	62.41730914532611	72579	73127	27	27
2501	1876.6277	62.25269108184497	44507	71423	28	28
1655	2706.064	61.611692142665596	66222	67102	29	29
1515	2505.6353	61.57835716288197	69754	69461	30	30
1843	1949.9187	61.51577705691537	60945	71249	31	31
1780	1894.5756	61.39736937371787	62701	71376	32	32
2073	3180.1785	60.364587339435424	54824	50311	33	33
3022	3661.834	60.201307064828505	33759	27816	34	34
1552	2596.8394	59.60493172477794	68991	68627	35	35
680	889.5575	59.59084677844564	73011	72880	36	36
1005	1807.4296	59.54257907542579	72549	71562	37	37
1514	2576.6692	59.24564270152506	69783	68839	38	38
1565	2586.7869	59.13669064748201	68657	68730	39	39
863	544.49054	58.939807606970675	72766	73165	40	40
572	639.10254	58.758084266077994	73134	73123	41	41
790	592.2224	58.59666995638471	72874	73148	42	42
1853	2981.0496	58.35888629952165	60663	58597	43	43
1462	2480.237	58.308077480563966	70648	69620	44	44
1781	2777.1687	58.16388652136856	62696	65481	45	45
1652	2678.4192	58.110129163834124	66305	67572	46	46
1706	2682.0044	57.85502226620485	64765	67525	47	47
2791	3242.5525	57.66949152542373	38313	47571	48	48
717	650.3902	57.58631780949338	72981	73118	49	49
1091	909.75195	57.533176688618994	72396	72844	50	50
1356	2299.1096	57.516431268354076	71592	70421	51	51
1465	2521.5745	57.308652857352726	70616	69336	52	52
5025	4162.1064	57.0663573380792	9152	7884	53	53
717	441.50952	57.06229124545461	72982	73176	54	54
