n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
5088	4057.333	804	1	1
6270	4040.142	371	2	2
6035	4002.2288	444	3	3
7028	3987.2793	151	4	4
4935	3976.2676	877	5	5
6840	3956.8904	194	6	6
5121	3909.9604	790	7	7
8002	3901.119	20	8	8
4380	3900.136	1206	9	9
7328	3896.2913	89	10	10
5956	3892.5142	473	11	11
7442	3888.6816	70	12	12
6255	3884.673	379	13	13
4382	3881.4673	1205	14	14
3837	3873.557	1808	15	15
4007	3847.43	1586	16	16
7826	3841.8372	27	17	17
5334	3833.1924	707	18	18
4580	3831.7627	1074	19	19
4971	3815.819	859	20	20
8223	3803.7646	12	21	21
5976	3798.5833	465	22	22
4816	3795.341	943	23	23
4561	3793.412	1083	24	24
4356	3791.3538	1227	25	25
8384	3791.2852	7	26	26
4893	3771.4795	900	27	27
5143	3767.2886	782	28	28
9049	3763.9775	1	29	29
8236	3763.6606	11	30	30
7446	3762.4248	69	31	31
4092	3761.922	1488	32	32
8649	3759.8013	2	33	33
7955	3759.6992	22	34	34
6779	3749.8767	209	35	35
7826	3749.7935	28	36	36
7143	3747.911	123	37	37
6801	3747.168	205	38	38
4153	3746.2302	1431	39	39
7717	3743.5935	36	40	40
4944	3741.008	870	41	41
6861	3740.2126	184	42	42
4941	3736.038	873	43	43
4976	3732.5664	856	44	44
4390	3726.7668	1202	45	45
7500	3725.1528	66	46	46
4297	3718.0908	1288	47	47
5349	3717.9634	703	48	48
8569	3716.1267	3	49	49
7672	3713.76	44	50	50
7379	3712.6396	79	51	51
7823	3710.752	29	52	52
4168	3708.2249	1413	53	53
7548	3705.017	60	54	54
5057	3704.302	816	55	55
6344	3703.9568	344	56	56
8392	3701.9048	6	57	57
7987	3697.69	21	58	58
6636	3696.5312	255	59	59
8067	3695.5532	17	60	60
8014	3694.189	19	61	61
7886	3691.889	26	62	62
3752	3687.7441	1957	63	63
3384	3682.9685	2879	64	64
4865	3674.827	913	65	65
3808	3674.042	1852	66	66
6832	3673.904	198	67	67
5017	3672.251	839	68	68
6320	3672.2317	353	69	69
5934	3670.6338	481	70	70
7282	3669.31	98	71	71
7359	3667.49	84	72	72
5740	3666.478	547	73	73
7690	3666.328	39	74	74
4823	3665.9634	940	75	75
3157	3664.9966	3818	76	76
5333	3664.028	708	77	77
4603	3660.7578	1063	78	78
4841	3658.7568	932	79	79
6571	3658.6667	271	80	80
8317	3657.9514	10	81	81
6456	3657.5286	301	82	82
4042	3657.2292	1542	83	83
7936	3655.649	23	84	84
7820	3653.306	31	85	85
3725	3651.8506	2006	86	86
4588	3650.33	1069	87	87
