-250	-245	10
-245	-240	219
-240	-235	110
-235	-230	19
-230	-225	8
-225	-220	7
-220	-215	16
-215	-210	20
-210	-205	29
-205	-200	26
-200	-195	32
-195	-190	15
-190	-185	12
-185	-180	17
-180	-175	13
-175	-170	35
-170	-165	17
-165	-160	15
-160	-155	12
-155	-150	21
-150	-145	27
-145	-140	22
-140	-135	27
-135	-130	36
-130	-125	41
-125	-120	21
-120	-115	21
-115	-110	13
-110	-105	6
-105	-100	9
-100	-95	4
-95	-90	3
-90	-85	2
-85	-80	2
-80	-75	3
-75	-70	1
-70	-65	0
-65	-60	2
-60	-55	0
-55	-50	1437
-50	-45	4952
-45	-40	6154
-40	-35	6550
-35	-30	9737
-30	-25	10141
-25	-20	11993
-20	-15	13671
-15	-10	14407
-10	-5	15596
-5	0	17732
0	5	18625
5	10	19198
10	15	19450
15	20	19108
20	25	18632
25	30	18238
30	35	17918
35	40	18343
40	45	17958
45	50	18194
50	55	18172
55	60	17121
60	65	15790
65	70	15412
70	75	14324
75	80	14912
80	85	13533
85	90	12943
90	95	13619
95	100	13508
100	105	12485
105	110	11833
110	115	11311
115	120	10399
120	125	9921
125	130	9341
130	135	9368
135	140	9526
140	145	8624
145	150	8592
150	155	8302
155	160	7353
160	165	7411
165	170	7648
170	175	7004
175	180	6444
180	185	6410
185	190	6383
190	195	5561
195	200	5448
200	205	5180
205	210	5105
210	215	4944
215	220	4639
220	225	4432
225	230	4395
230	235	4342
235	240	3988
240	245	4045
245	250	3561
