#Deviation	13.882
#DeviationSub	13.056
#Quality	Match	Sub	Ins	Del	TrueQuality	TrueQualitySub
0	128	0	0	0	60.00	60.00
1	0	0	0	0		
2	0	0	0	0		
3	0	0	0	0		
4	0	0	0	0		
5	0	0	0	0		
6	0	0	0	0		
7	0	0	0	0		
8	0	0	0	0		
9	0	0	0	0		
10	0	0	0	0		
11	0	0	0	0		
12	1390949834	245013180	3439484	1061456	8.18	8.26
13	0	0	0	0		
14	0	0	0	0		
15	0	0	0	0		
16	0	0	0	0		
17	0	0	0	0		
18	0	0	0	0		
19	0	0	0	0		
20	0	0	0	0		
21	0	0	0	0		
22	0	0	0	0		
23	0	0	0	0		
24	2858127044	38204686	2316620	837827	18.46	18.80
25	0	0	0	0		
26	0	0	0	0		
27	0	0	0	0		
28	0	0	0	0		
29	0	0	0	0		
30	0	0	0	0		
31	0	0	0	0		
32	0	0	0	0		
33	0	0	0	0		
34	0	0	0	0		
35	0	0	0	0		
36	0	0	0	0		
37	0	0	0	0		
38	0	0	0	0		
39	0	0	0	0		
40	76705092158	174240416	27078078	11054627	25.59	26.45
